"pop" "a" "bootstrap.num" "date1.est.boot" "date2.est.boot" "maxR2fit.1date.boot" "maxScore.2events.boot"
"284" "JOLACEU100g95p" "main" 4 4.909056 97.25769 0.9628378 0.6790939
"285" "JOLACEU100g95p" "main" 5 4.629312 100.9244 0.970191 0.6782753
"286" "JOLACEU100g95p" "main" 1 4.599244 101.1359 0.9685488 0.642448
"287" "JOLACEU100g95p" "main" 2 4.859992 102.568 0.9650764 0.5715734
"288" "JOLACEU100g95p" "main" 3 4.315728 100.7526 0.9620757 0.6418963
"289" "JOLACEU100g95p" "main" 4 5.132857 95.97574 0.9674441 0.6329153
"290" "JOLACEU100g95p" "main" 5 5.234523 102.2503 0.9608127 0.6375128
"291" "JOLACEU100g95p" "main" 1 5.301829 99.89541 0.9681826 0.644981
"292" "JOLACEU100g95p" "main" 2 5.898353 100.7182 0.962977 0.6405599
"293" "JOLACEU100g95p" "main" 3 4.534967 108.1637 0.9616791 0.6605913
"294" "JOLACEU100g95p" "main" 4 5.661152 98.25328 0.9581829 0.6532731
"295" "JOLACEU100g95p" "main" 5 4.28065 101.2658 0.9673542 0.681329
"296" "JOLACEU100g95p" "main" 1 5.577985 99.53318 0.967264 0.6261154
"297" "JOLACEU100g95p" "main" 2 3.861936 100.3887 0.9622767 0.6366808
"298" "JOLACEU100g95p" "main" 3 4.816063 98.68173 0.9679204 0.6068484
"299" "JOLACEU100g95p" "main" 4 5.303339 100.9106 0.9664065 0.6893964
"300" "JOLACEU100g95p" "main" 5 5.535652 96.65107 0.9662262 0.6650984
"301" "JUHOANCEU100g80p" "main" 1 5.853495 99.55093 0.9807944 0.7312255
"302" "JUHOANCEU100g80p" "main" 2 5.501638 94.19379 0.9808305 0.7376783
"303" "JUHOANCEU100g80p" "main" 3 4.838789 100.9367 0.9794787 0.7365569
"304" "JUHOANCEU100g80p" "main" 4 5.718599 97.17624 0.9784681 0.7360906
"305" "JUHOANCEU100g80p" "main" 5 5.145575 98.51507 0.9784019 0.7347145
"306" "JUHOANCEU100g80p" "main" 1 5.375709 96.17252 0.9755085 0.741605
"307" "JUHOANCEU100g80p" "main" 2 5.402521 101.6419 0.9766525 0.7250674
"308" "JUHOANCEU100g80p" "main" 3 5.120498 99.82496 0.9820843 0.7621892
"309" "JUHOANCEU100g80p" "main" 4 5.046653 100.1802 0.9791733 0.7364642
"310" "JUHOANCEU100g80p" "main" 5 4.797506 100.6163 0.9771913 0.7089067
"311" "JUHOANCEU100g80p" "main" 1 5.886149 94.24597 0.9787245 0.7392198
"312" "JUHOANCEU100g80p" "main" 2 4.791188 95.73021 0.9772597 0.7228833
"313" "JUHOANCEU100g80p" "main" 3 5.158829 98.60236 0.9748774 0.7416304
"314" "JUHOANCEU100g80p" "main" 4 5.601872 99.35816 0.9796433 0.715608
"315" "JUHOANCEU100g80p" "main" 5 6.041463 97.635 0.9794819 0.756503
"316" "JUHOANCEU100g80p" "main" 1 5.2329 97.35402 0.9816962 0.7507147
"317" "JUHOANCEU100g80p" "main" 2 5.13527 98.06065 0.9810539 0.7534115
"318" "JUHOANCEU100g80p" "main" 3 5.010675 96.29376 0.9800126 0.7600514
